model consumption,emissions,energylabel
Opel ADAM,"1.4,XEL GLP,87,Cv,M5,,13.08,114,NA
Opel ADAM,1.0,XFT,Start,&,Stop,115,Cv,M6,4.9,112,C
Opel ADAM,1.0,XFT,Start,&,Stop,115,Cv,M6,5,115,C
Opel ADAM,1.2,XEL Start,&,Stop,70,Cv,M5,4.9,116,C
Opel ADAM,1.2,XEL Start,&,Stop,70,Cv,M5,4.9,115,C
Opel ADAM,1.4,NEH,Start,&,Stop,150,Cv,M6,5.9,139,E
Opel ADAM,1.4,XEL 87,Cv,MTA5,118,C
Opel ADAM,1.4,XEL 87,Cv,MTA,4.9,115,C
Opel ADAM,1.4,XEL GLP,87,Cv,M5,7.1,109,NA
Opel ADAM,1.4,XEL GLP,87,Cv,M5,6.92,108,NA
Opel ADAM,1.4,XEL Start,&,Stop,87,Cv,M5,5.1,119,C
Opel ADAM,1.4,XEL Start,&,Stop,87,Cv,M5,5.1,118,C
Opel ADAM,1.4,XER,Start,&,Stop,100,Cv,M5,5.1,119,C
Opel ADAM,1.4,XER,Start,&,Stop,100,Cv,M5,5.1,118,C
Opel ADAM,MY14,"1.2,XEL Start,&,Stop,70,Cv,M5,,5.1,119,C
Opel ADAM,MY14,"1.4,XEL Start,&,Stop,87,Cv,M5,,5.1,120,C
Opel ADAM,MY14,"1.4,XER,100,Cv,Start,&,Stop,M5,,5.1,120,C
Opel ADAM,MY14,1.2,XEL Start,&,Stop,70,Cv,M5,5,118,C
Opel ADAM,MY14,1.4,XEL Start,&,Stop,87,Cv,M5,5.1,119,C
Opel ADAM,MY14,1.4,XER,100,Cv,Start,&,Stop,M5,5.1,119,C
Opel ADAM,MY14''5,1.2,XEL Start,&,Stop,70,Cv,M5,5,117,C
Opel ADAM,MY14''5,1.2,XEL Start,&,Stop,70,Cv,M5,5,118,C
Opel ADAM,MY15'5,1.4,XEL GLP,87,Cv,M5,12.9,112,NA
Opel ADAM,MY15'5,1.4,XEL GLP,87,Cv,M5,13.08,114,NA
Opel ADAM,MY16,1.0,XFT,Start,&,Stop,115,Cv,M6,5.1,119,C
Opel ADAM,MY18,1.2,XEL Start,&,Stop,70,Cv,M5,4.9,116,C
Opel ADAM,MY18,1.2,XEL Start,&,Stop,70,Cv,M5,4.9,115,C
Opel Agila,1.2,16v,M5,EoE5.1,118,C
Opel Agila,1.2,16v,M5,Start,&,Stop,EoE5,115,C
Opel Agila,MY11,1.2,16v,M5,EoE,86,Cv,5.5,129,D
Opel Agila,MY11,1.3,CDTI,4.5,120,E
Opel Agila,MY12,1.2,16v,M5,EoE,94,Cv,5.1,119,C
Opel Agila,MY13,1.2,16v,M5,Start,&,Stop,EoE94,Cv,5,116,C
Opel Ampera,150,Cv,1.2,27,A
Opel Antara,2.2,CDTI,163,Cv,A6,4x4,8,211,G
Opel Antara,2.2,CDTI,163,Cv,Start,&,Stop,M6,4x2,6.1,160,D
